iteration,RegisterClient_ms,GetGlobalModel_ms,GetStatus_ms,Heartbeat_ms
0,8.117,1.14,0.824,0.74
1,1.211,1.922,1.644,1.165
2,1.15,0.721,0.76,0.762
3,1.522,0.656,0.594,0.63
4,0.83,0.623,0.572,0.575
5,5.661,0.851,0.84,0.752
6,0.853,0.559,0.522,0.581
7,0.801,0.555,0.501,0.528
8,0.69,0.572,0.606,0.827
9,0.792,0.574,0.639,0.581
10,0.76,0.587,0.536,0.603
11,0.942,0.77,0.788,0.798
12,1.067,0.719,0.624,0.575
13,0.884,0.647,0.577,0.739
14,1.054,0.668,0.661,0.683
15,1.228,0.748,0.611,0.558
16,0.78,0.618,0.692,1.045
17,2.544,1.014,0.827,0.968
18,1.525,0.672,1.211,1.025
19,3.093,0.742,0.812,0.725
20,3.696,0.867,0.691,0.542
21,0.783,0.742,0.591,0.544
22,0.66,0.494,0.461,0.495
23,0.791,0.606,0.547,0.494
24,0.651,0.572,0.479,0.62
25,0.672,0.532,0.494,0.728
26,0.742,0.595,0.8,0.544
27,0.686,0.505,0.509,0.483
28,0.863,0.675,0.642,0.616
29,0.794,0.517,0.468,0.678
